"m","Re_omega","Im_omega"
8.,7.721766934394119,0.0439593818137077
8.2,7.898816856123359,0.04091817456590912
8.4,8.076576526192186,0.03809923032428929
8.6,8.255001539456751,0.03548421277530832
8.8,8.434050582038791,0.03305654201649058
9.,8.613685176627001,0.030801203307322916
9.2,8.79386945194597,0.02870457882337989
9.4,8.974569933872754,0.026754299403066704
9.6,9.15575535596883,0.02493911370002994
9.8,9.337396487446158,0.02324877251473933
10.,9.519465976805947,0.021673926385859712
10.2,9.701938209581712,0.02020603478408975
10.4,9.884789178787786,0.018837285475089168
10.6,10.067996366824133,0.01756052280978281
10.8,10.251538637720252,0.01636918386461912
11.,10.435396138717804,0.015257241495397873
11.2,10.619550210294976,0.014219153489539909
11.4,10.803983303827332,0.013249817106081127
11.6,10.988678906161471,0.012344528382707245
11.8,11.173621470450279,0.01149894566689838
12.,11.358796352663154,0.010709056895495247
12.2,11.54418975324232,0.009971150205235901
12.4,11.7297886634278,0.009281787507320765
12.6,11.915580815819776,0.008637780702932007
12.8,12.10155463878841,0.008036170254787778
13.,12.287699214378373,0.007474205863044168
13.2,12.474004239388666,0.006949329022844779
13.4,12.660459989338541,0.006459157266139368
13.6,12.847057285057407,0.006001469912546585
13.8,13.033787461661246,0.00557419517344868
14.,13.220642339700364,0.005175398470545888
14.2,13.407614198283424,0.0048032718450814966
14.4,13.59469575000118,0.00445612434714839
14.6,13.78188011748995,0.004132373306139574
14.8,13.969160811490177,0.003830536393711972
15.,14.156531710269233,0.0035492243997702518
15.2,14.343987040290376,0.0032871346500969035
15.4,14.531521358021278,0.003043045001487123
15.6,14.71912953278613,0.002815808356704838
15.8,14.906806730574981,0.0026043476473567727
16.,15.09454839873273,0.002407651237968237
16.2,15.282350251458219,0.002224768709209375
16.4,15.470208256051164,0.002054806982425562
16.6,15.658118619851223,0.0018969267514235
16.8,15.846077777819566,0.0017503391909006634
17.,16.034082380718612,0.0016143029140190258
17.2,16.22212928385054,0.0014881211544476962
17.4,16.41021553631948,0.0013711391507618836
17.6,16.5983383707862,0.0012627417134120507
17.8,16.78649519368751,0.0011623509565885017
18.,16.974683575895746,0.0010694241792214814
