3/2	0	4619/100000
37/25	6.9049147280720400562265510043842672012378823598208213708707791900902005540113241e-86	0.048837734547745694455525957038011154251495878217135265541078894473051617587806785
73/50	7.1714842911040441459827166642881253242025575648177118170983237384288189593682857e-95	0.051619586580800195485434387347434854236604243641867632139901084387814254282938593
36/25	2.2249880892833681980646538477222579471663205705420142838948608242521144848082142e-95	0.054549051972969733299753869718561008570102789971643604833942618178442527352498628
71/50	-2.1014777675157787249494011728868341082139401646096248109199463530311070171571587e-95	0.057633364573797105765193742253995131612342235464582627140462984071030036746185079
7/5	-3.2356845552267095533114289190142024927448021641597555174603179815799585930846549e-95	0.060880098231090423808461781550008710610067271558351274028983077628673160196358035
69/50	4.26655301157028481098665847465481799485327399449689550710277891056957032679184e-95	0.064297185538314096021476169189608963260124576974397504865821666178878309292734657
34/25	8.166536134467331234910026451161076844901169459718621076328424339435181475080847e-96	0.067892938222568432745749246694038833762769658409381703121215642692418520073005738
67/50	4.2319660221256032456581854861067417470449105275812853629667050348675044200282703e-95	0.07167606937637900045995591527636234071953808070661500913426472624943373398093366
33/25	-2.9017134096749074661744418093219117182400958144378878786734941424721771928369013e-95	0.075655717764463225670362803552682420314336574274050175285912631180106740562284258
13/10	1.949016605657573556908539717735443741897270883260930360881129792109157571926567e-95	0.079841474468810985976600443658017593507881182734249013306044867182581702335733791
32/25	8.6930190148302137792518522967327551350503574835785207884364469346625432122573458e-96	0.084243412172553559281213124733593278667747957756374402107027009962049156167273244
63/50	-1.4064141427250616064726779458743493823139715380291623459780543093980678012321071e-95	0.088872117426099917988712474670679352566187165105974669248779829266562907259403817
31/25	2.945308370927917418118313442582892394802432723874455263199323206082911986277094e-96	0.093738726288977753771624019165642499190716042126034327695666008479815273400354066
61/50	2.5411324994204714628928371138574940388390127707709599828377558866182350977756662e-95	0.098854963799047873765476562940785803314665019292680827220074398249514103715111668
6/5	-5.8848554246240692046419111963527356117172991221997960892597006443217538037311068e-96	0.10423318778887154208580674489223421984787331371014277893614198979053712438835778
59/50	-6.24421010796939452576471218235142386876301141006450382473147097908851944549955e-96	0.10988643764896568410569602890324253275648078350276023801612282759078367571235231
29/25	1.918417253644622494846387653998039745687211000938258966134715343774035676349221e-95	0.11582848873189243837918250716047828928287792031210749766214801479117058372460903
57/50	7.8760493632159968658633707434879921311664918540262349938909442708849576822847183e-96	0.12207391320257011379633309638820555288941630806467865253678201871876111301351862
28/25	1.2937351292958185004783238402815691889865835762507784907418070494176265678544513e-95	0.12863814827254215079525104192903016948766324716815469495185153355760083584914395
11/10	8.8154855956137163899018305534688941647158519420207955673410938314023872206737376e-96	0.13553757291377507347834508040330740534952307928146278499580410421517591854496562
27/25	1.3384885688174061449420766577567370144929165798939920563565353595618212106975324e-95	0.14278959433659243896458130867006399925405222543865939850570406519818426450199161
53/50	3.5848520174539627915918759672967351271085742547250064022845463575501884821182772e-96	0.15041274574376702365215980969523864164393590361792189484683227740601562925941566
26/25	-5.32284330705556639490351921204061110810774107839459289103923505786528704447511e-96	0.15842679714764656893655762965884456813699379940882248860199234574657995451431478
51/50	7.9288931305463283878291252418683981427166657848701331501057366669937280684130689e-96	0.1668528813709746830465400820598059333063626323029881876880479654674785142445578
1	-2.3939750936009127272072677073732816130027020368430604377647717820778039147577229e-96	0.17571363775945961549508774395052913742392118402975832700424920453260679735964916
49/50	1.407883940821151616602777455228130128863804775333984765859675155068014761694591e-96	0.18503337663397894205316869172177920656967972926320144278241219395993165637526136
24/25	5.4350096425690321702567643041699481640238359761254611794099515769339428826245975e-96	0.19483826812693347555204469722409822181240597904133616377815557540285643501855429
47/50	6.0028018731727100655100016940857764273042410484861563506917686929451556552456816e-96	0.20515655981235280828524159668288737494005428590880984569074905721472820995563247
23/25	5.7648153324455373503319808863540949692631048000785517987812057599192576426429595e-96	0.21601882849440898204831005885844575857768806834623984339858080388400319202577098
9/10	3.505067862373870105071874547122671577255165828156700598342038724292323490991453e-96	0.22745827271880063554827501098667544505094404574757528471656014762735199299213171
22/25	-1.2320318011161933927483621402020889873642467413626619593034674915902418567568295e-96	0.23951105408892869390958043548314735868930500358113901528745268140251956149703517
43/50	6.7920465113967753616130238601819563632939156395684938788319920155953723592439914e-97	0.25221669740171887280318902357646130426244148850738694955761678978055445684940052
21/25	5.3486878643492773048703460450910320896504598991968307195648294609907079973379037e-96	0.26561856209879407551949224802196868092740465328281395780728674931064743529911596
41/50	3.8699676347561549197953464382461137266224996883760817290064664385469300079617674e-96	0.27976440073846874316968957176495195920160577116360782746364702435504404536310194
4/5	2.4047153288777643577310244261715518135383558733723936290309625743648801263039612e-96	0.29470702438262129851766752125701552266586692053299737848428040035651641185867962
39/50	1.2785380072430918234227735487512801520495947985326130369562911941977968295324542e-96	0.31050510030862337640318432376789095121866563546243552085597315176689793385044683
19/25	1.6706017411956627756414955429517562867024414640726662176565226048279936031532538e-96	0.32722411479242518987589646803966821318152944980899855831665608376812434118525368
37/50	2.4185801245235426170537167366279938687950744814361001135656579200208838131602027e-96	0.3449375435680940013226577500351449304714376693381975455531176438998476767328878
18/25	1.5277927598830265010582996827548856008682651865704767291552901218535857019805795e-96	0.36372828597027914023779719109393624724775192272875626297605582414197394431549982
7/10	2.6625390395525449068744055731841576802273687888735489954104085045342370966129269e-96	0.38369043720555029774015509550126275621653153220338346537236171076117293017073266
17/25	6.4303387244804132876624595886336686215762732667826848004432012337043469037539151e-96	0.40493149890823384786052522586904660738851319376213026002998762420145200445259445
33/50	8.1490755015001902293606467056857703809942180827294576952462582992181081530070679e-94	0.42757516450127752335760670880893917575713738028747217664044161646042314092433016
16/25	8.9773011322521798264545252545143649101034340715478993514800348801115247462917646e-92	0.45176486813050811145954633134127820959307689558112558938500583143463396054583252
31/50	6.8448968061323555832155863280151823284821052532800359774122274732512774321129704e-90	0.4776683623059969900840038683133681648791164971375849833006041973192748319750803
3/5	4.045141568521831835541967986862852552875759390091220334308020192757540877796837e-88	0.50548370312203530436118759166970845249118110096178080152858202745477711913180875
29/50	2.0076978524488381651393136804727740807419957348618219967990038970272903488867767e-86	0.53544719488811508128349467022007410088200839856924382394162038091573805263230101
14/25	8.9127532312237873515587100751178086260109360877959139373238713379934829577128276e-85	0.56784411517063322977657500049863127877942697267068602142397539171300977642083979
27/50	3.7389371136454560391068955847740467976739680106066326248322309663906573594606928e-83	0.60302347107875886688899809380916947087835451708638472852002496773741047346568916
13/25	1.5630254375653846272671407010875528626059153610446324903712898015058188540632879e-81	0.64141874423069835829631655125936698681674070305244699467092091063745061737842586
1/2	3.3377578057305322677305749513124195396943953916947635838326826626491076509772423e-81	0.68357778222038346429773086008844078702604788432663963094663915851785215819025627
12/25	-7.4800241764587693601653542909239969199206107184359124193727494577555881261119947e-97	0.73020711164419491789665766899286645725468607137838890629188756108442748842496689
23/50	1.2699721844181049684770107698499989614026491464232889337334039166308229675909013e-96	0.78223984749635306556382080775986213243773613891120750341795700255205347470391419
11/25	-8.8015623386276016544079057537890157694139714318041564173692467773487990196625603e-97	0.84094392940528031951015527299841164487247088938337770577427716571519103608167354
21/50	-1.1891918277042976335555417754127125901525042648482033601206557531785510868825785e-96	0.90810295746934052449351855043122268884268602237300807820462066678674737993313671
